SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR,LATITUDE,LONGITUDE,LOCATION
2022,37,T002,1,0,1,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,38,T002,13,0,13,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2022,40,T002,4,0,4,0.0,41.956298856,-87.797517445,"(41.956298856118664, -87.79751744482932)"
2017,24,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,29,T046,9,0,9,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,30,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,31,T046,5,0,5,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,32,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,33,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,34,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,35,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,36,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,37,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,38,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,39,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,23,T046,6,0,6,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,24,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,25,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,26,T046,5,0,5,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,27,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,28,T046,9,0,9,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,29,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,30,T046,10,0,10,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,32,T046,7,0,7,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,33,T046,8,1,7,125.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,35,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2018,38,T046,5,1,4,200.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,23,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,24,T046,18,0,18,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,25,T046,12,0,12,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,26,T046,98,0,98,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,27,T046,53,0,53,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,28,T046,66,0,66,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,29,T046,6,0,6,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,30,T046,18,0,18,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,31,T046,14,0,14,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,32,T046,15,0,15,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,33,T046,26,0,26,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,34,T046,47,1,46,21.27659574468085,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,35,T046,15,0,15,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,36,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,37,T046,15,0,15,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,38,T046,6,0,6,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2019,39,T046,3,0,3,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,24,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,25,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,26,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,27,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,28,T046,39,0,39,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,29,T046,30,0,30,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,30,T046,11,0,11,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,31,T046,43,0,43,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,32,T046,10,0,10,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,33,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,39,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2020,40,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,23,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,24,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,27,T046,38,0,38,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,28,T046,63,0,63,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,29,T046,37,0,37,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,30,T046,52,0,52,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,31,T046,21,0,21,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,32,T046,94,2,92,21.27659574468085,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,33,T046,8,1,7,125.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,34,T046,3,0,3,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,36,T046,1,0,1,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,37,T046,6,0,6,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2021,39,T046,5,0,5,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,23,T046,14,0,14,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,24,T046,35,0,35,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,25,T046,29,0,29,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,26,T046,6,0,6,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,28,T046,24,0,24,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,29,T046,14,1,13,71.42857142857143,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,30,T046,9,0,9,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,31,T046,71,1,70,14.084507042253522,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,32,T046,4,0,4,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,33,T046,30,1,29,33.333333333333336,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,34,T046,9,0,9,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,35,T046,39,0,39,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,36,T046,19,0,19,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,37,T046,11,0,11,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,38,T046,10,0,10,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2022,39,T046,2,0,2,0.0,41.892219983,-87.691697729,"(41.89221998323666, -87.69169772868295)"
2017,24,T048,10,0,10,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,26,T048,3,0,3,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,27,T048,13,0,13,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,28,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,29,T048,14,0,14,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,30,T048,24,0,24,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,31,T048,10,0,10,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,32,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,33,T048,9,0,9,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,34,T048,16,0,16,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,35,T048,8,0,8,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,36,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,37,T048,39,0,39,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,38,T048,16,0,16,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,39,T048,46,0,46,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,23,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,24,T048,2,0,2,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,25,T048,11,0,11,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,26,T048,10,0,10,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,27,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,28,T048,9,0,9,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,29,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,30,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,31,T048,6,0,6,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,32,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,34,T048,3,0,3,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,35,T048,8,0,8,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,36,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,37,T048,1,0,1,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,38,T048,2,0,2,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2018,39,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,23,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,24,T048,13,0,13,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,25,T048,13,0,13,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,26,T048,26,0,26,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,27,T048,3,0,3,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,28,T048,8,0,8,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,29,T048,18,0,18,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,30,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,31,T048,1,0,1,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,32,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,33,T048,23,0,23,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,34,T048,8,0,8,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,35,T048,20,0,20,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,36,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,37,T048,38,0,38,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,38,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2019,39,T048,17,0,17,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,24,T048,18,0,18,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,25,T048,27,0,27,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,26,T048,13,0,13,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,27,T048,12,0,12,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,28,T048,19,0,19,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,29,T048,79,0,79,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,30,T048,19,0,19,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,31,T048,12,0,12,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,32,T048,73,0,73,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,33,T048,40,0,40,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,34,T048,68,1,67,14.705882352941176,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,35,T048,119,0,119,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,36,T048,34,0,34,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,37,T048,18,0,18,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,38,T048,8,0,8,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,39,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2020,40,T048,10,0,10,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,23,T048,43,0,43,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,24,T048,47,0,47,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,25,T048,14,0,14,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,26,T048,2,0,2,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,27,T048,19,0,19,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,28,T048,56,0,56,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,29,T048,88,0,88,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,30,T048,61,0,61,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,31,T048,11,0,11,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,32,T048,136,1,135,7.352941176470588,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,33,T048,30,0,30,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,34,T048,26,0,26,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,35,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,36,T048,3,0,3,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,37,T048,44,0,44,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,38,T048,30,0,30,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2021,39,T048,64,0,64,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,24,T048,119,0,119,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,25,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,26,T048,22,0,22,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,28,T048,1,0,1,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,29,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,30,T048,4,0,4,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,31,T048,15,0,15,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,32,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,33,T048,7,0,7,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,34,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,35,T048,20,0,20,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,36,T048,5,0,5,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,37,T048,1,0,1,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2022,38,T048,12,0,12,0.0,41.866915182,-87.654918844,"(41.86691518161014, -87.65491884363057)"
2017,24,T049,1,0,1,0.0,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,25,T049,1,0,1,0.0,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,26,T049,4,0,4,0.0,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,27,T049,20,0,20,0.0,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,28,T049,6,0,6,0.0,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,29,T049,59,0,59,0.0,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,30,T049,26,1,25,38.46153846153846,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,31,T049,68,1,67,14.705882352941176,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,32,T049,49,1,48,20.40816326530612,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
2017,33,T049,47,1,46,21.27659574468085,41.896131093,-87.656762124,"(41.896131092623506, -87.65676212387862)"
