SEASON YEAR,WEEK,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR
2010,36,936,5,931,5.3418803418803416
2010,37,448,4,444,8.928571428571429
2010,38,501,0,501,0.0
2010,39,138,0,138,0.0
2011,20,9,0,9,0.0
2011,21,4,0,4,0.0
2011,22,128,0,128,0.0
2011,23,296,0,296,0.0
2011,24,822,0,822,0.0
2011,25,846,0,846,0.0
2011,26,1944,0,1944,0.0
2011,27,2091,0,2091,0.0
2011,28,2497,0,2497,0.0
2011,29,2449,3,2446,1.2249897917517354
2011,30,1408,8,1400,5.681818181818182
2011,31,1065,5,1060,4.694835680751174
2011,32,824,11,813,13.349514563106796
2011,33,589,4,585,6.791171477079796
2011,34,490,4,486,8.16326530612245
2011,35,870,7,863,8.045977011494253
2011,36,734,6,728,8.174386920980925
2011,37,821,3,818,3.6540803897685747
2011,38,728,6,722,8.241758241758243
2011,39,184,0,184,0.0
2012,23,233,0,233,0.0
2012,24,364,0,364,0.0
2012,25,604,0,604,0.0
2012,26,1482,3,1479,2.0242914979757085
2012,27,5534,17,5517,3.0719190458980847
2012,28,3412,27,3385,7.913247362250878
2012,29,6057,75,5982,12.382367508667656
2012,30,5016,113,4903,22.52791068580542
2012,31,4718,101,4617,21.407376006782535
2012,32,1889,33,1856,17.469560614081523
2012,33,1927,36,1891,18.68188894654904
2012,34,1028,12,1016,11.673151750972762
2012,35,893,4,889,4.479283314669653
2012,36,1028,5,1023,4.863813229571985
2012,37,983,9,974,9.155645981688709
2012,38,286,1,285,3.4965034965034967
2012,39,567,1,566,1.763668430335097
2013,23,360,0,360,0.0
2013,24,1670,0,1670,0.0
2013,25,1319,0,1319,0.0
2013,26,1362,1,1361,0.7342143906020557
2013,27,1833,0,1833,0.0
2013,28,4796,7,4789,1.4595496246872393
2013,29,4168,15,4153,3.598848368522073
2013,30,1974,2,1972,1.0131712259371835
2013,31,2865,22,2843,7.678883071553229
2013,32,3188,34,3154,10.664993726474279
2013,33,1946,20,1926,10.277492291880781
2013,34,2063,30,2033,14.541929229277752
2013,35,2645,38,2607,14.366729678638942
2013,36,2510,32,2478,12.749003984063746
2013,37,2210,23,2187,10.407239819004525
2013,38,1030,11,1019,10.679611650485437
2013,39,505,4,501,7.920792079207921
2014,23,1701,0,1701,0.0
2014,24,1893,0,1893,0.0
2014,25,2436,2,2434,0.8210180623973727
2014,26,1457,1,1456,0.6863417982155113
2014,27,1720,0,1720,0.0
2014,28,2695,2,2693,0.7421150278293135
2014,29,1153,1,1152,0.8673026886383347
2014,30,529,1,528,1.890359168241966
2014,31,3673,16,3657,4.356112169888375
2014,32,3945,15,3930,3.802281368821293
2014,33,3972,32,3940,8.056394763343404
2014,34,4453,36,4417,8.084437457893555
2014,35,3307,42,3265,12.700332627759298
2014,36,2146,36,2110,16.775396085740912
2014,37,921,8,913,8.686210640608035
2014,38,722,12,710,16.62049861495845
2014,39,612,7,605,11.437908496732025
2014,40,323,0,323,0.0
2015,22,272,0,272,0.0
2015,23,663,0,663,0.0
2015,24,1018,0,1018,0.0
2015,25,577,0,577,0.0
2015,26,922,1,921,1.0845986984815619
2015,27,1339,0,1339,0.0
2015,28,1379,2,1377,1.4503263234227701
2015,29,1403,7,1396,4.989308624376337
2015,30,1957,8,1949,4.087889626980072
2015,31,1468,13,1455,8.85558583106267
2015,32,1404,16,1388,11.396011396011396
2015,33,1038,20,1018,19.267822736030826
2015,34,1329,20,1309,15.048908954100828
2015,35,823,12,811,14.580801944106925
2015,36,370,6,364,16.216216216216218
2015,37,582,4,578,6.8728522336769755
2015,38,263,1,262,3.802281368821293
2015,39,190,3,187,15.789473684210527
2016,23,139,0,139,0.0
2016,24,1138,0,1138,0.0
2016,25,2287,0,2287,0.0
2016,26,1019,1,1018,0.9813542688910696
2016,27,1488,9,1479,6.048387096774193
2016,28,870,5,865,5.747126436781609
2016,29,1501,15,1486,9.993337774816789
2016,30,5654,86,5568,15.21047046338875
2016,31,3533,82,3451,23.20973676761959
2016,32,3729,84,3645,22.52614641995173
2016,33,3701,72,3629,19.45420156714402
2016,34,1323,25,1298,18.89644746787604
2016,35,2137,29,2108,13.57042583060365
2016,36,3515,37,3478,10.526315789473683
2016,37,1690,12,1678,7.100591715976331
2016,38,2120,3,2117,1.4150943396226414
2016,39,867,3,864,3.4602076124567476
2017,23,550,0,550,0.0
2017,24,533,1,532,1.876172607879925
2017,25,251,1,250,3.9840637450199203
2017,26,405,1,404,2.4691358024691357
2017,27,434,0,434,0.0
2017,28,1424,13,1411,9.129213483146067
2017,29,1350,18,1332,13.333333333333334
2017,30,695,13,682,18.70503597122302
2017,31,1603,36,1567,22.457891453524642
2017,32,1052,20,1032,19.011406844106464
2017,33,1703,34,1669,19.96476805637111
2017,34,1098,23,1075,20.947176684881605
2017,35,759,7,752,9.22266139657444
2017,36,591,5,586,8.460236886632826
2017,37,570,1,569,1.7543859649122808
2017,38,379,2,377,5.277044854881266
2017,39,839,2,837,2.3837902264600714
2018,23,1127,2,1125,1.7746228926353151
2018,24,1350,1,1349,0.7407407407407407
2018,25,1362,3,1359,2.2026431718061676
2018,26,2138,8,2130,3.7418147801683816
2018,27,752,3,749,3.9893617021276593
2018,28,1341,13,1328,9.694258016405668
2018,29,1250,17,1233,13.6
2018,30,1270,31,1239,24.409448818897637
2018,31,1405,27,1378,19.217081850533805
2018,32,1549,31,1518,20.01291155584248
2018,33,1518,43,1475,28.326745718050063
2018,34,460,18,442,39.130434782608695
2018,35,468,7,461,14.957264957264957
2018,36,539,3,536,5.565862708719852
2018,37,333,1,332,3.003003003003003
2018,38,739,4,735,5.412719891745603
2018,39,379,0,379,0.0
2019,23,1267,0,1267,0.0
2019,24,2565,0,2565,0.0
2019,25,1555,0,1555,0.0
2019,26,1515,0,1515,0.0
2019,27,625,1,624,1.6
2019,28,1385,0,1385,0.0
2019,29,805,1,804,1.2422360248447206
2019,30,878,0,878,0.0
2019,31,979,5,974,5.107252298263534
2019,32,1273,8,1265,6.284367635506678
2019,33,2061,20,2041,9.70402717127608
2019,34,2312,31,2281,13.408304498269898
2019,35,1586,32,1554,20.1765447667087
2019,36,859,15,844,17.462165308498253
2019,37,2555,28,2527,10.95890410958904
2019,38,1329,5,1324,3.762227238525207
2019,39,1172,5,1167,4.266211604095563
2020,24,848,0,848,0.0
2020,25,875,0,875,0.0
2020,26,686,0,686,0.0
2020,27,903,0,903,0.0
2020,28,1507,1,1506,0.6635700066357001
2020,29,1781,2,1779,1.1229646266142617
2020,30,1276,2,1274,1.567398119122257
2020,31,2476,13,2463,5.250403877221325
2020,32,1096,6,1090,5.474452554744526
2020,33,2270,18,2252,7.929515418502203
2020,34,2007,21,1986,10.46337817638266
2020,35,2571,21,2550,8.168028004667445
2020,36,1366,13,1353,9.51683748169839
2020,37,202,0,202,0.0
2020,38,476,5,471,10.504201680672269
2020,39,361,0,361,0.0
2020,40,139,0,139,0.0
2021,22,39,0,39,0.0
2021,23,1740,0,1740,0.0
2021,24,1528,0,1528,0.0
2021,25,226,0,226,0.0
2021,26,443,0,443,0.0
2021,27,2431,4,2427,1.6454134101192925
2021,28,3520,4,3516,1.1363636363636362
2021,29,2867,8,2859,2.790373212417161
2021,30,1983,12,1971,6.051437216338881
2021,31,2739,22,2717,8.032128514056224
2021,32,3045,43,3002,14.121510673234813
2021,33,2655,42,2613,15.819209039548022
2021,34,1241,24,1217,19.339242546333605
2021,35,802,8,794,9.975062344139651
2021,36,183,1,182,5.46448087431694
2021,37,1637,12,1625,7.330482590103848
2021,38,1133,4,1129,3.53045013239188
2021,39,800,4,796,5.0
2022,23,395,0,395,0.0
2022,24,2289,1,2288,0.436871996505024
2022,25,367,0,367,0.0
2022,26,378,1,377,2.6455026455026456
2022,27,105,1,104,9.523809523809526
2022,28,463,2,461,4.319654427645789
2022,29,545,2,543,3.669724770642202
2022,30,403,1,402,2.4813895781637716
2022,31,1387,14,1373,10.093727469358328
2022,32,757,17,740,22.457067371202115
2022,33,820,9,811,10.97560975609756
2022,34,741,8,733,10.79622132253711
2022,35,956,14,942,14.644351464435147
2022,36,987,9,978,9.11854103343465
2022,37,361,1,360,2.770083102493075
2022,38,273,0,273,0.0
2022,39,39,0,39,0.0
2022,40,127,0,127,0.0
