SEASON YEAR,WEEK,TRAP,NUMBER OF MOSQUITOES,WNV POS,WNV NEG,MIR
2007,24,T008,2,0,2,0.0
2007,24,T011,6,0,6,0.0
2007,24,T012,2,0,2,0.0
2007,24,T015,1,0,1,0.0
2007,24,T016,4,0,4,0.0
2007,24,T019,1,0,1,0.0
2007,24,T025,1,0,1,0.0
2007,24,T028,10,0,10,0.0
2007,24,T033,5,0,5,0.0
2007,24,T034,1,0,1,0.0
2007,24,T037,1,0,1,0.0
2007,24,T040,6,0,6,0.0
2007,24,T043,1,0,1,0.0
2007,24,T045,2,0,2,0.0
2007,24,T046,7,0,7,0.0
2007,24,T047,2,0,2,0.0
2007,24,T048,2,0,2,0.0
2007,24,T049,1,0,1,0.0
2007,24,T050,1,0,1,0.0
2007,24,T051,1,0,1,0.0
2007,24,T085,2,0,2,0.0
2007,24,T086,1,0,1,0.0
2007,24,T087,3,0,3,0.0
2007,24,T088,1,0,1,0.0
2007,24,T090,30,0,30,0.0
2007,24,T096,5,0,5,0.0
2007,24,T129,2,0,2,0.0
2007,24,T135,51,0,51,0.0
2007,24,T141,4,0,4,0.0
2007,24,T142,4,0,4,0.0
2007,24,T143,2,0,2,0.0
2007,24,T145,1,0,1,0.0
2007,24,T146,6,0,6,0.0
2007,24,T147,1,0,1,0.0
2007,24,T148,4,0,4,0.0
2007,24,T150,2,0,2,0.0
2007,24,T151,9,0,9,0.0
2007,24,T158,5,0,5,0.0
2007,24,T161,8,0,8,0.0
2007,24,T219,1,0,1,0.0
2007,24,T220,1,0,1,0.0
2007,25,T002,5,0,5,0.0
2007,25,T003,1,0,1,0.0
2007,25,T005,3,0,3,0.0
2007,25,T006,1,0,1,0.0
2007,25,T007,8,0,8,0.0
2007,25,T008,7,0,7,0.0
2007,25,T009,2,0,2,0.0
2007,25,T011,6,0,6,0.0
2007,25,T012,1,0,1,0.0
2007,25,T013,7,0,7,0.0
2007,25,T014,6,0,6,0.0
2007,25,T015,3,0,3,0.0
2007,25,T016,1,0,1,0.0
2007,25,T017,1,0,1,0.0
2007,25,T018,1,0,1,0.0
2007,25,T019,1,0,1,0.0
2007,25,T028,7,0,7,0.0
2007,25,T030,5,0,5,0.0
2007,25,T037,3,0,3,0.0
2007,25,T043,5,0,5,0.0
2007,25,T044,3,0,3,0.0
2007,25,T045,4,0,4,0.0
2007,25,T046,19,0,19,0.0
2007,25,T047,12,0,12,0.0
2007,25,T048,1,0,1,0.0
2007,25,T051,1,0,1,0.0
2007,25,T054,3,0,3,0.0
2007,25,T085,2,0,2,0.0
2007,25,T087,5,0,5,0.0
2007,25,T088,1,0,1,0.0
2007,25,T089,1,0,1,0.0
2007,25,T090,13,0,13,0.0
2007,25,T092,2,0,2,0.0
2007,25,T095,1,0,1,0.0
2007,25,T096,10,0,10,0.0
2007,25,T129,3,0,3,0.0
2007,25,T135,30,0,30,0.0
2007,25,T142,2,0,2,0.0
2007,25,T145,1,0,1,0.0
2007,25,T146,1,0,1,0.0
2007,25,T148,1,0,1,0.0
2007,25,T149,2,0,2,0.0
2007,25,T151,7,0,7,0.0
2007,25,T152,1,0,1,0.0
2007,25,T154,1,0,1,0.0
2007,25,T158,32,0,32,0.0
2007,25,T161,5,0,5,0.0
2007,25,T218,2,0,2,0.0
2007,26,T002,35,0,35,0.0
2007,26,T003,4,0,4,0.0
2007,26,T004,2,0,2,0.0
2007,26,T006,2,0,2,0.0
2007,26,T007,1,0,1,0.0
2007,26,T008,6,0,6,0.0
2007,26,T009,3,0,3,0.0
2007,26,T011,11,0,11,0.0
2007,26,T012,2,0,2,0.0
2007,26,T013,2,0,2,0.0
2007,26,T015,4,0,4,0.0
2007,26,T016,4,0,4,0.0
2007,26,T018,2,0,2,0.0
2007,26,T025,1,0,1,0.0
2007,26,T028,3,0,3,0.0
2007,26,T030,24,0,24,0.0
2007,26,T031,1,0,1,0.0
2007,26,T035,4,0,4,0.0
2007,26,T037,8,0,8,0.0
2007,26,T039,2,0,2,0.0
2007,26,T043,5,0,5,0.0
2007,26,T045,6,0,6,0.0
2007,26,T046,21,0,21,0.0
2007,26,T047,1,0,1,0.0
2007,26,T048,3,0,3,0.0
2007,26,T049,8,0,8,0.0
2007,26,T051,1,0,1,0.0
2007,26,T054,1,0,1,0.0
2007,26,T061,4,0,4,0.0
2007,26,T063,2,0,2,0.0
2007,26,T066,1,0,1,0.0
2007,26,T067,6,0,6,0.0
2007,26,T068,6,0,6,0.0
2007,26,T070,7,0,7,0.0
2007,26,T071,1,0,1,0.0
2007,26,T072,3,0,3,0.0
2007,26,T073,7,0,7,0.0
2007,26,T074,14,0,14,0.0
2007,26,T077,1,0,1,0.0
2007,26,T081,3,0,3,0.0
2007,26,T082,7,0,7,0.0
2007,26,T083,5,0,5,0.0
2007,26,T084,3,0,3,0.0
2007,26,T085,10,0,10,0.0
2007,26,T086,8,0,8,0.0
2007,26,T087,35,0,35,0.0
2007,26,T088,6,0,6,0.0
2007,26,T089,4,0,4,0.0
2007,26,T090,13,0,13,0.0
2007,26,T091,12,0,12,0.0
2007,26,T092,9,0,9,0.0
2007,26,T095,1,0,1,0.0
2007,26,T096,33,1,32,30.303030303030305
2007,26,T097,1,0,1,0.0
2007,26,T114,4,0,4,0.0
2007,26,T129,1,0,1,0.0
2007,26,T135,24,0,24,0.0
2007,26,T141,7,0,7,0.0
2007,26,T142,4,0,4,0.0
2007,26,T143,1,0,1,0.0
2007,26,T144,1,0,1,0.0
2007,26,T146,6,0,6,0.0
2007,26,T148,4,0,4,0.0
2007,26,T151,7,0,7,0.0
2007,26,T152,1,0,1,0.0
2007,26,T155,2,0,2,0.0
2007,26,T157,1,0,1,0.0
2007,26,T158,178,0,178,0.0
2007,26,T160,4,0,4,0.0
2007,26,T161,14,0,14,0.0
2007,26,T218,1,0,1,0.0
2007,26,T219,2,0,2,0.0
2007,26,T220,2,0,2,0.0
2007,27,T001,1,0,1,0.0
2007,27,T002,27,0,27,0.0
2007,27,T003,2,0,2,0.0
2007,27,T004,1,0,1,0.0
2007,27,T006,3,0,3,0.0
2007,27,T007,3,0,3,0.0
2007,27,T008,58,0,58,0.0
2007,27,T009,15,0,15,0.0
2007,27,T011,12,0,12,0.0
2007,27,T013,3,0,3,0.0
2007,27,T014,7,0,7,0.0
2007,27,T015,4,0,4,0.0
2007,27,T016,66,0,66,0.0
2007,27,T019,1,0,1,0.0
2007,27,T025,9,0,9,0.0
2007,27,T028,3,0,3,0.0
2007,27,T030,15,0,15,0.0
2007,27,T031,1,0,1,0.0
2007,27,T033,1,0,1,0.0
2007,27,T035,1,0,1,0.0
2007,27,T036,2,0,2,0.0
2007,27,T037,2,0,2,0.0
2007,27,T039,1,0,1,0.0
2007,27,T043,25,0,25,0.0
2007,27,T045,5,0,5,0.0
2007,27,T046,14,0,14,0.0
2007,27,T047,3,0,3,0.0
2007,27,T048,4,0,4,0.0
2007,27,T049,3,0,3,0.0
2007,27,T054,2,0,2,0.0
2007,27,T060,2,0,2,0.0
2007,27,T061,4,0,4,0.0
2007,27,T062,2,0,2,0.0
2007,27,T065,26,0,26,0.0
2007,27,T066,4,0,4,0.0
2007,27,T067,9,0,9,0.0
2007,27,T068,4,0,4,0.0
2007,27,T069,14,0,14,0.0
2007,27,T070,2,0,2,0.0
2007,27,T071,2,0,2,0.0
2007,27,T073,5,0,5,0.0
2007,27,T074,11,0,11,0.0
2007,27,T075,1,0,1,0.0
2007,27,T076,18,0,18,0.0
2007,27,T077,1,0,1,0.0
2007,27,T079,12,0,12,0.0
2007,27,T080,3,0,3,0.0
2007,27,T081,12,0,12,0.0
2007,27,T082,9,0,9,0.0
2007,27,T083,9,0,9,0.0
2007,27,T084,6,0,6,0.0
2007,27,T085,15,0,15,0.0
2007,27,T086,9,0,9,0.0
2007,27,T087,165,0,165,0.0
2007,27,T088,9,0,9,0.0
2007,27,T089,3,0,3,0.0
2007,27,T090,32,0,32,0.0
2007,27,T091,15,0,15,0.0
2007,27,T092,6,0,6,0.0
2007,27,T094,1,0,1,0.0
2007,27,T096,45,0,45,0.0
2007,27,T114,6,0,6,0.0
2007,27,T135,23,0,23,0.0
2007,27,T141,1,0,1,0.0
2007,27,T142,2,0,2,0.0
2007,27,T143,1,0,1,0.0
2007,27,T146,16,0,16,0.0
2007,27,T148,4,0,4,0.0
2007,27,T150,1,0,1,0.0
2007,27,T151,12,0,12,0.0
2007,27,T155,1,0,1,0.0
2007,27,T158,245,0,245,0.0
2007,27,T160,17,0,17,0.0
2007,27,T161,21,0,21,0.0
2007,27,T162,1,0,1,0.0
2007,27,T218,2,0,2,0.0
2007,28,T001,1,0,1,0.0
2007,28,T002,13,0,13,0.0
2007,28,T003,2,0,2,0.0
2007,28,T006,3,0,3,0.0
2007,28,T007,6,0,6,0.0
2007,28,T008,11,0,11,0.0
2007,28,T011,4,0,4,0.0
2007,28,T012,1,0,1,0.0
2007,28,T013,2,0,2,0.0
2007,28,T014,3,0,3,0.0
2007,28,T015,5,0,5,0.0
2007,28,T016,41,0,41,0.0
2007,28,T017,1,0,1,0.0
2007,28,T019,2,0,2,0.0
2007,28,T025,3,0,3,0.0
2007,28,T028,4,0,4,0.0
2007,28,T030,18,0,18,0.0
2007,28,T031,3,0,3,0.0
2007,28,T033,4,0,4,0.0
2007,28,T035,1,0,1,0.0
2007,28,T036,6,0,6,0.0
2007,28,T037,3,0,3,0.0
2007,28,T039,2,0,2,0.0
2007,28,T043,1,0,1,0.0
2007,28,T044,3,0,3,0.0
2007,28,T045,16,0,16,0.0
2007,28,T046,72,0,72,0.0
2007,28,T047,1,0,1,0.0
2007,28,T048,3,0,3,0.0
2007,28,T049,3,0,3,0.0
2007,28,T050,1,0,1,0.0
2007,28,T051,2,0,2,0.0
2007,28,T054,5,0,5,0.0
2007,28,T060,1,0,1,0.0
2007,28,T061,2,0,2,0.0
2007,28,T062,18,0,18,0.0
2007,28,T063,3,0,3,0.0
2007,28,T065,7,0,7,0.0
2007,28,T066,12,0,12,0.0
2007,28,T067,16,0,16,0.0
2007,28,T068,9,0,9,0.0
2007,28,T069,7,0,7,0.0
2007,28,T070,5,0,5,0.0
2007,28,T071,2,0,2,0.0
2007,28,T072,1,0,1,0.0
2007,28,T073,7,0,7,0.0
2007,28,T074,25,0,25,0.0
2007,28,T075,1,0,1,0.0
2007,28,T077,9,0,9,0.0
2007,28,T078,5,0,5,0.0
2007,28,T079,9,0,9,0.0
2007,28,T080,3,0,3,0.0
2007,28,T081,3,0,3,0.0
2007,28,T082,5,1,4,200.0
2007,28,T083,16,0,16,0.0
2007,28,T084,1,0,1,0.0
2007,28,T085,4,0,4,0.0
2007,28,T086,11,0,11,0.0
2007,28,T087,179,0,179,0.0
2007,28,T088,5,0,5,0.0
2007,28,T090,31,0,31,0.0
2007,28,T091,16,0,16,0.0
2007,28,T092,11,0,11,0.0
2007,28,T094,4,0,4,0.0
2007,28,T096,37,1,36,27.027027027027028
2007,28,T097,7,0,7,0.0
2007,28,T099,3,0,3,0.0
2007,28,T100,8,0,8,0.0
2007,28,T102,15,0,15,0.0
2007,28,T103,200,0,200,0.0
2007,28,T104,10,0,10,0.0
2007,28,T107,3,0,3,0.0
2007,28,T114,11,0,11,0.0
2007,28,T115,2529,0,2529,0.0
2007,28,T128,118,0,118,0.0
2007,28,T129,1,0,1,0.0
2007,28,T135,148,2,146,13.513513513513514
2007,28,T138,1060,0,1060,0.0
2007,28,T141,1,0,1,0.0
2007,28,T142,3,0,3,0.0
2007,28,T143,2,0,2,0.0
2007,28,T144,2,0,2,0.0
2007,28,T146,10,0,10,0.0
2007,28,T147,2,0,2,0.0
2007,28,T148,3,0,3,0.0
2007,28,T150,2,0,2,0.0
2007,28,T151,13,0,13,0.0
2007,28,T152,1,0,1,0.0
2007,28,T153,2,0,2,0.0
2007,28,T155,3,0,3,0.0
2007,28,T158,52,0,52,0.0
2007,28,T160,4,0,4,0.0
2007,28,T161,10,0,10,0.0
2007,28,T162,2,0,2,0.0
2007,28,T200,16,0,16,0.0
2007,28,T203,34,0,34,0.0
2007,28,T206,5,0,5,0.0
2007,28,T209,16,0,16,0.0
2007,28,T212,140,0,140,0.0
2007,28,T215,85,1,84,11.764705882352942
2007,28,T218,3,0,3,0.0
2007,28,T220,2,0,2,0.0
2007,29,T001,1,0,1,0.0
2007,29,T002,99,2,97,20.2020202020202
2007,29,T003,4,0,4,0.0
2007,29,T005,1,0,1,0.0
2007,29,T006,4,0,4,0.0
2007,29,T008,50,0,50,0.0
2007,29,T009,13,0,13,0.0
2007,29,T011,9,0,9,0.0
2007,29,T012,9,0,9,0.0
2007,29,T014,6,0,6,0.0
2007,29,T015,6,0,6,0.0
2007,29,T016,92,0,92,0.0
2007,29,T017,2,0,2,0.0
2007,29,T018,1,0,1,0.0
2007,29,T019,2,0,2,0.0
2007,29,T025,4,0,4,0.0
2007,29,T027,3,0,3,0.0
2007,29,T028,2,0,2,0.0
2007,29,T030,12,0,12,0.0
2007,29,T031,4,0,4,0.0
2007,29,T033,5,0,5,0.0
2007,29,T034,2,0,2,0.0
2007,29,T035,3,0,3,0.0
2007,29,T036,1,0,1,0.0
2007,29,T037,4,0,4,0.0
2007,29,T043,2,0,2,0.0
2007,29,T044,1,0,1,0.0
2007,29,T045,19,0,19,0.0
2007,29,T046,44,0,44,0.0
2007,29,T047,3,0,3,0.0
2007,29,T048,4,0,4,0.0
2007,29,T049,6,0,6,0.0
2007,29,T050,4,0,4,0.0
2007,29,T054,5,0,5,0.0
2007,29,T060,2,0,2,0.0
2007,29,T061,4,0,4,0.0
2007,29,T062,11,0,11,0.0
2007,29,T063,11,0,11,0.0
2007,29,T065,17,0,17,0.0
2007,29,T066,7,0,7,0.0
2007,29,T067,25,0,25,0.0
2007,29,T068,11,0,11,0.0
2007,29,T069,2,0,2,0.0
2007,29,T070,3,0,3,0.0
2007,29,T071,4,0,4,0.0
2007,29,T072,2,0,2,0.0
2007,29,T073,4,0,4,0.0
2007,29,T074,23,0,23,0.0
2007,29,T075,3,0,3,0.0
2007,29,T077,3,0,3,0.0
2007,29,T078,1,0,1,0.0
2007,29,T079,10,0,10,0.0
2007,29,T080,2,0,2,0.0
2007,29,T081,14,1,13,71.42857142857143
2007,29,T082,14,0,14,0.0
2007,29,T083,9,0,9,0.0
2007,29,T084,2,0,2,0.0
2007,29,T085,9,0,9,0.0
2007,29,T086,13,0,13,0.0
2007,29,T087,56,0,56,0.0
2007,29,T088,4,0,4,0.0
2007,29,T089,1,0,1,0.0
2007,29,T090,38,0,38,0.0
2007,29,T091,5,0,5,0.0
2007,29,T092,1,0,1,0.0
2007,29,T094,6,0,6,0.0
2007,29,T096,4,0,4,0.0
2007,29,T097,4,0,4,0.0
2007,29,T099,3,0,3,0.0
2007,29,T100,5,0,5,0.0
2007,29,T102,3,0,3,0.0
2007,29,T103,310,3,307,9.67741935483871
2007,29,T104,27,1,26,37.03703703703704
2007,29,T107,3,0,3,0.0
2007,29,T114,20,0,20,0.0
2007,29,T115,3002,5,2997,1.665556295802798
2007,29,T128,151,0,151,0.0
2007,29,T129,1,0,1,0.0
2007,29,T135,11,0,11,0.0
2007,29,T138,989,0,989,0.0
2007,29,T141,2,0,2,0.0
2007,29,T142,4,0,4,0.0
2007,29,T143,9,0,9,0.0
2007,29,T144,27,0,27,0.0
2007,29,T146,5,0,5,0.0
2007,29,T148,4,0,4,0.0
2007,29,T149,3,0,3,0.0
2007,29,T151,14,0,14,0.0
2007,29,T153,3,0,3,0.0
2007,29,T154,5,0,5,0.0
2007,29,T155,8,0,8,0.0
2007,29,T156,3,0,3,0.0
2007,29,T158,29,0,29,0.0
2007,29,T160,9,0,9,0.0
2007,29,T161,10,0,10,0.0
2007,29,T162,4,0,4,0.0
2007,29,T200,23,0,23,0.0
2007,29,T203,40,0,40,0.0
2007,29,T206,3,0,3,0.0
2007,29,T209,18,0,18,0.0
2007,29,T212,439,0,439,0.0
2007,29,T215,37,0,37,0.0
2007,29,T218,10,0,10,0.0
2007,29,T219,1,0,1,0.0
2007,29,T220,2,1,1,500.0
2007,30,T001,3,0,3,0.0
2007,30,T002,80,0,80,0.0
2007,30,T003,5,0,5,0.0
2007,30,T005,1,0,1,0.0
2007,30,T006,3,0,3,0.0
2007,30,T007,1,0,1,0.0
2007,30,T008,111,1,110,9.00900900900901
2007,30,T009,31,0,31,0.0
2007,30,T011,25,0,25,0.0
2007,30,T012,16,0,16,0.0
2007,30,T013,5,0,5,0.0
2007,30,T014,29,0,29,0.0
2007,30,T015,12,1,11,83.33333333333333
2007,30,T016,23,0,23,0.0
2007,30,T017,1,0,1,0.0
2007,30,T019,4,0,4,0.0
2007,30,T025,4,0,4,0.0
2007,30,T027,9,0,9,0.0
2007,30,T028,4,0,4,0.0
2007,30,T030,2,0,2,0.0
2007,30,T031,7,0,7,0.0
2007,30,T033,3,0,3,0.0
2007,30,T034,5,0,5,0.0
2007,30,T035,11,0,11,0.0
2007,30,T036,6,0,6,0.0
2007,30,T037,5,0,5,0.0
2007,30,T039,1,0,1,0.0
2007,30,T043,11,0,11,0.0
2007,30,T044,2,0,2,0.0
2007,30,T045,14,0,14,0.0
2007,30,T046,32,0,32,0.0
2007,30,T047,39,0,39,0.0
2007,30,T048,9,0,9,0.0
2007,30,T049,9,0,9,0.0
2007,30,T050,2,0,2,0.0
2007,30,T060,1,0,1,0.0
2007,30,T061,31,0,31,0.0
2007,30,T062,5,0,5,0.0
2007,30,T065,36,1,35,27.77777777777778
2007,30,T066,65,0,65,0.0
2007,30,T067,22,0,22,0.0
2007,30,T068,14,0,14,0.0
2007,30,T069,20,0,20,0.0
2007,30,T070,15,0,15,0.0
2007,30,T071,5,0,5,0.0
2007,30,T072,4,0,4,0.0
2007,30,T073,13,0,13,0.0
2007,30,T074,35,0,35,0.0
2007,30,T075,2,0,2,0.0
2007,30,T078,2,0,2,0.0
2007,30,T079,12,0,12,0.0
2007,30,T080,10,0,10,0.0
2007,30,T081,7,0,7,0.0
2007,30,T082,104,0,104,0.0
2007,30,T083,5,0,5,0.0
2007,30,T084,2,0,2,0.0
2007,30,T085,5,0,5,0.0
2007,30,T086,39,0,39,0.0
2007,30,T087,48,1,47,20.833333333333332
2007,30,T088,3,0,3,0.0
2007,30,T089,2,0,2,0.0
2007,30,T090,24,1,23,41.666666666666664
2007,30,T091,24,0,24,0.0
2007,30,T092,7,0,7,0.0
2007,30,T095,1,0,1,0.0
2007,30,T096,16,0,16,0.0
2007,30,T097,26,0,26,0.0
2007,30,T099,9,0,9,0.0
2007,30,T100,23,0,23,0.0
2007,30,T102,24,0,24,0.0
2007,30,T103,338,0,338,0.0
2007,30,T104,25,0,25,0.0
2007,30,T107,5,0,5,0.0
2007,30,T114,38,0,38,0.0
2007,30,T115,110,0,110,0.0
2007,30,T128,79,0,79,0.0
2007,30,T129,5,0,5,0.0
2007,30,T135,13,0,13,0.0
2007,30,T138,1050,1,1049,0.9523809523809523
2007,30,T141,5,0,5,0.0
2007,30,T142,4,0,4,0.0
2007,30,T143,23,0,23,0.0
2007,30,T144,27,1,26,37.03703703703704
2007,30,T145,3,0,3,0.0
2007,30,T146,16,0,16,0.0
2007,30,T147,2,0,2,0.0
2007,30,T148,3,0,3,0.0
2007,30,T150,6,0,6,0.0
2007,30,T151,16,0,16,0.0
2007,30,T152,3,0,3,0.0
2007,30,T153,5,0,5,0.0
2007,30,T154,14,0,14,0.0
2007,30,T155,8,0,8,0.0
2007,30,T156,6,0,6,0.0
2007,30,T157,2,0,2,0.0
2007,30,T158,70,0,70,0.0
2007,30,T160,16,0,16,0.0
2007,30,T161,7,0,7,0.0
2007,30,T162,2,0,2,0.0
2007,30,T200,48,0,48,0.0
2007,30,T203,48,0,48,0.0
2007,30,T206,1,0,1,0.0
2007,30,T209,53,0,53,0.0
2007,30,T212,340,1,339,2.9411764705882355
2007,30,T215,412,0,412,0.0
2007,30,T218,11,0,11,0.0
2007,30,T219,3,0,3,0.0
2007,31,T001,2,0,2,0.0
2007,31,T002,26,0,26,0.0
2007,31,T003,10,0,10,0.0
2007,31,T006,23,0,23,0.0
2007,31,T007,2,0,2,0.0
2007,31,T008,140,2,138,14.285714285714286
2007,31,T009,37,0,37,0.0
2007,31,T011,72,2,70,27.77777777777778
2007,31,T012,49,0,49,0.0
2007,31,T013,24,0,24,0.0
2007,31,T014,73,1,72,13.698630136986301
2007,31,T015,39,1,38,25.641025641025642
2007,31,T016,69,1,68,14.492753623188406
2007,31,T018,1,0,1,0.0
2007,31,T019,1,0,1,0.0
2007,31,T025,10,0,10,0.0
2007,31,T027,12,0,12,0.0
2007,31,T028,6,0,6,0.0
2007,31,T030,1,0,1,0.0
2007,31,T031,4,0,4,0.0
2007,31,T033,25,0,25,0.0
2007,31,T034,1,0,1,0.0
2007,31,T035,5,0,5,0.0
2007,31,T036,2,0,2,0.0
2007,31,T037,23,0,23,0.0
2007,31,T039,24,0,24,0.0
2007,31,T043,4,0,4,0.0
2007,31,T045,28,0,28,0.0
2007,31,T046,7,0,7,0.0
2007,31,T048,10,0,10,0.0
2007,31,T049,7,0,7,0.0
2007,31,T050,2,0,2,0.0
2007,31,T054,1,0,1,0.0
2007,31,T060,1,0,1,0.0
2007,31,T061,22,0,22,0.0
2007,31,T063,4,0,4,0.0
2007,31,T065,33,0,33,0.0
2007,31,T066,7,0,7,0.0
2007,31,T067,6,0,6,0.0
2007,31,T068,26,0,26,0.0
2007,31,T069,5,0,5,0.0
2007,31,T070,5,0,5,0.0
2007,31,T073,27,0,27,0.0
2007,31,T074,87,0,87,0.0
2007,31,T075,16,0,16,0.0
2007,31,T079,5,0,5,0.0
2007,31,T080,3,0,3,0.0
2007,31,T081,17,0,17,0.0
2007,31,T082,24,1,23,41.666666666666664
2007,31,T083,14,0,14,0.0
2007,31,T084,11,0,11,0.0
2007,31,T085,7,0,7,0.0
2007,31,T086,38,0,38,0.0
2007,31,T087,82,0,82,0.0
2007,31,T088,1,0,1,0.0
2007,31,T089,4,0,4,0.0
2007,31,T090,22,0,22,0.0
2007,31,T091,13,0,13,0.0
2007,31,T092,40,0,40,0.0
2007,31,T094,6,0,6,0.0
2007,31,T095,1,0,1,0.0
2007,31,T096,43,0,43,0.0
2007,31,T097,44,0,44,0.0
2007,31,T099,5,0,5,0.0
2007,31,T100,23,0,23,0.0
2007,31,T102,61,0,61,0.0
2007,31,T103,249,1,248,4.016064257028113
2007,31,T104,10,0,10,0.0
2007,31,T107,19,0,19,0.0
2007,31,T114,21,0,21,0.0
2007,31,T115,1625,3,1622,1.8461538461538463
2007,31,T128,401,1,400,2.493765586034913
2007,31,T129,2,0,2,0.0
2007,31,T135,5,0,5,0.0
2007,31,T138,1907,2,1905,1.048767697954903
2007,31,T141,2,0,2,0.0
2007,31,T142,10,0,10,0.0
2007,31,T143,44,2,42,45.45454545454545
2007,31,T144,9,0,9,0.0
2007,31,T145,2,0,2,0.0
2007,31,T147,4,0,4,0.0
2007,31,T148,3,0,3,0.0
2007,31,T150,16,0,16,0.0
2007,31,T151,14,0,14,0.0
2007,31,T152,6,0,6,0.0
2007,31,T153,7,0,7,0.0
2007,31,T154,24,0,24,0.0
2007,31,T155,10,0,10,0.0
2007,31,T157,2,0,2,0.0
2007,31,T158,53,0,53,0.0
2007,31,T159,15,0,15,0.0
2007,31,T160,26,1,25,38.46153846153846
2007,31,T161,21,0,21,0.0
2007,31,T162,15,1,14,66.66666666666667
2007,31,T200,107,0,107,0.0
2007,31,T203,127,0,127,0.0
2007,31,T206,2,0,2,0.0
2007,31,T209,81,1,80,12.345679012345679
2007,31,T212,107,0,107,0.0
2007,31,T215,34,0,34,0.0
2007,31,T218,36,0,36,0.0
2007,31,T219,8,0,8,0.0
2007,31,T220,6,0,6,0.0
2007,32,T001,10,0,10,0.0
2007,32,T002,76,1,75,13.157894736842104
2007,32,T003,84,2,82,23.80952380952381
2007,32,T004,1,0,1,0.0
2007,32,T005,12,0,12,0.0
2007,32,T006,36,2,34,55.55555555555556
2007,32,T007,4,0,4,0.0
2007,32,T008,50,1,49,20.0
2007,32,T009,65,2,63,30.76923076923077
